DU2076 Bonus Cap Certificate — N=200-Step Binomial Tree
Date      : 2025-09-04
S0        : 1707.93 EUR
K (cap)   : 2000.00 EUR
B (barrier): 1050.00 EUR
sigma     : 0.3898  (38.98% p.a.)
r         : 0.0334  (3.34% p.a.)
T         : 1.7851 years
dt        : 0.008925 years
u         : 1.037515
d         : 0.963842
q (risk-neutral prob): 0.494186
Total nodes: 20,301
======================================================================
  Step  UpMoves      S(n,j) EUR   V_cert(n,j) EUR  Status
----------------------------------------------------------------------
     0        0       1707.9281         1540.3428  alive
     1        0       1646.1727         1508.3360  alive
     1        1       1772.0002         1574.0319  alive
     2        0       1586.6502         1474.5579  alive
     2        1       1707.9281         1543.8188  alive
     2        2       1838.4760         1605.9055  alive
     3        0       1529.2800         1439.0761  alive
     3        1       1646.1727         1511.7642  alive
     3        2       1772.0002         1577.5589  alive
     3        3       1907.4456         1635.8878  alive
     4        0       1473.9842         1401.9797  alive
     4        1       1586.6502         1477.9134  alive
     4        2       1707.9281         1547.3235  alive
     4        3       1838.4760         1609.4575  alive
     4        4       1979.0025         1663.9269  alive
     5        0       1420.6877         1363.3802  alive
     5        1       1529.2800         1442.3332  alive
     5        2       1646.1727         1515.2223  alive
     5        3       1772.0002         1581.1135  alive
     5        4       1907.4456         1639.4393  alive
     5        5       2053.2439         1689.9945  alive
     6        0       1369.3184         1323.4106  alive
     6        1       1473.9842         1405.1128  alive
     6        2       1586.6502         1481.2994  alive
     6        3       1707.9281         1550.8574  alive
     6        4       1838.4760         1613.0352  alive
     6        5       1979.0025         1667.4536  alive
     6        6       2130.2704         1714.0852  alive
     7        0       1319.8064         1282.2247  alive
     7        1       1420.6877         1366.3638  alive
     7        2       1529.2800         1445.6211  alive
     7        3       1646.1727         1518.7109  alive
     7        4       1772.0002         1584.6959  alive
     7        5       1907.4456         1643.0144  alive
     7        6       2053.2439         1693.4738  alive
     7        7       2210.1865         1736.2156  alive
     8        0       1272.0848         1239.9964  alive
     8        1       1369.3184         1326.2201  alive
     8        2       1473.9842         1408.2762  alive
     8        3       1586.6502         1484.7167  alive
     8        4       1707.9281         1554.4210  alive
     8        5       1838.4760         1616.6391  alive
     8        6       1979.0025         1671.0015  alive
     8        7       2130.2704         1717.4965  alive
     8        8       2293.1007         1756.4225  alive
     9        0       1226.0886         1196.9173  alive
     9        1       1319.8064         1284.8373  alive
     9        2       1420.6877         1369.3767  alive
     9        3       1529.2800         1448.9405  alive
     9        4       1646.1727         1522.2305  alive
     9        5       1772.0002         1588.3067  alive
     9        6       1907.4456         1646.6134  alive
     9        7       2053.2439         1696.9714  alive
     9        8       2210.1865         1739.5405  alive
     9        9       2379.1253         1774.7613  alive
    10        0       1181.7556         1153.1945  alive
    10        1       1272.0848         1242.3908  alive
    10        2       1369.3184         1329.0575  alive
    10        3       1473.9842         1411.4708  alive
    10        4       1586.6502         1488.1659  alive
    10        5       1707.9281         1558.0148  alive
    10        6       1838.4760         1620.2695  alive
    10        7       1979.0025         1674.5706  alive
    10        8       2130.2704         1720.9230  alive
    10        9       2293.1007         1759.6455  alive
    10       10       2468.3771         1791.3035  alive
    11        0       1139.0256         1109.0484  alive
    11        1       1226.0886         1199.0750  alive
    11        2       1319.8064         1287.4753  alive
    11        3       1420.6877         1372.4198  alive
    11        4       1529.2800         1452.2920  alive
    11        5       1646.1727         1525.7816  alive
    11        6       1772.0002         1591.9462  alive
    11        7       1907.4456         1650.2366  alive
    11        8       2053.2439         1700.4874  alive
    11        9       2210.1865         1742.8777  alive
    11       10       2379.1253         1777.8695  alive
    11       11       2560.9771         1806.1341  alive
    12        0       1097.8406         1064.7089  alive
    12        1       1181.7556         1155.1002  alive
    12        2       1272.0848         1244.8079  alive
    12        3       1369.3184         1331.9233  alive
    12        4       1473.9842         1414.6971  alive
    12        5       1586.6502         1491.6476  alive
    12        6       1707.9281         1561.6393  alive
    12        7       1838.4760         1623.9266  alive
    12        8       1979.0025         1678.1611  alive
    12        9       2130.2704         1724.3648  alive
    12       10       2293.1007         1762.8775  alive
    12       11       2468.3771         1794.2868  alive
    12       12       2657.0510         1819.3498  alive
    13        0       1058.1448         1020.4123  alive
    13        1       1139.0256         1110.6901  alive
