"DATE","TIME PERIOD","AAA yield curve - Beta 0 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA0)","AAA yield curve - Beta 1 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA1)","AAA yield curve - Beta 2 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA2)","AAA yield curve - Beta 3 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA3)","AAA yield curve - Tau 1 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.TAU1)","AAA yield curve - Tau 2 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.TAU2)"
"2004-09-06","06 Sep 2004","5.410510","-3.462358","-0.361335","-0.466368","3.128331","1.489535"
"2004-09-07","07 Sep 2004","5.391886","-3.450353","-0.372908","-0.271295","3.157868","1.548566"
"2004-09-08","08 Sep 2004","5.385978","-3.447950","-0.346505","-0.198077","3.137857","1.553148"
"2004-09-09","09 Sep 2004","5.377333","-3.432592","-0.382208","-0.293482","3.271392","1.521143"
"2004-09-10","10 Sep 2004","5.355732","-3.395283","-0.375382","-0.507894","3.279876","1.479197"
"2004-09-13","13 Sep 2004","5.365402","-3.414400","-0.392852","-0.296918","3.312242","1.575132"
"2004-09-14","14 Sep 2004","5.367759","-3.416192","-0.401331","-0.349662","3.311395","1.571843"
"2004-09-15","15 Sep 2004","5.358261","-3.403146","-0.394387","-0.359843","3.300079","1.573123"
"2004-09-16","16 Sep 2004","5.344475","-3.384598","-0.385639","-0.331579","3.290072","1.582903"
"2004-09-17","17 Sep 2004","5.329382","-3.352071","-0.389468","-0.513191","3.285137","1.545061"
"2004-09-20","20 Sep 2004","5.311582","-3.340882","-0.400759","-0.465314","3.307064","1.579832"
"2004-09-21","21 Sep 2004","5.316766","-3.345874","-0.404348","-0.418107","3.313201","1.608639"
"2004-09-22","22 Sep 2004","5.288747","-3.314467","-0.407773","-0.410370","3.323623","1.618347"
"2004-09-23","23 Sep 2004","5.253548","-3.269991","-0.432389","-0.593371","3.390127","1.562785"
"2004-09-24","24 Sep 2004","5.264710","-3.276933","-0.379458","-0.492621","3.360796","1.594566"
"2004-09-27","27 Sep 2004","5.253619","-3.264359","-0.406792","-0.530257","3.381431","1.615821"
"2004-09-28","28 Sep 2004","5.225969","-3.240747","-0.269781","-0.959520","3.016436","2.123408"
"2004-09-29","29 Sep 2004","5.266523","-3.280723","-0.257037","-0.879122","3.034156","2.243265"
"2004-09-30","30 Sep 2004","5.340518","-3.395727","-0.315219","-0.721100","3.152546","2.578964"
"2004-10-01","01 Oct 2004","5.341975","-3.349416","-0.299720","-1.025981","3.001751","2.138339"
"2004-10-04","04 Oct 2004","5.322765","-3.339854","-0.238226","-0.950022","2.957540","2.147792"
"2004-10-05","05 Oct 2004","5.296801","-3.309165","-0.264300","-0.981123","2.988279","2.144351"
"2004-10-06","06 Oct 2004","5.277725","-3.285321","-0.256977","-0.999105","2.974936","2.114445"
"2004-10-07","07 Oct 2004","5.293635","-3.299416","-0.254627","-1.027483","2.967381","2.076934"
"2004-10-08","08 Oct 2004","5.265467","-3.272119","-0.275895","-1.162594","3.022789","1.920927"
"2004-10-11","11 Oct 2004","5.294486","-3.288028","-0.292552","-1.196155","3.037379","1.910834"
"2004-10-12","12 Oct 2004","5.263512","-3.255260","-0.314529","-1.251503","3.073711","1.877548"
"2004-10-13","13 Oct 2004","5.255191","-3.240369","-0.291975","-1.229000","3.049152","1.881819"
"2004-10-14","14 Oct 2004","5.244903","-3.228041","-0.309332","-1.275557","3.064032","1.840610"
"2004-10-15","15 Oct 2004","5.232442","-3.194864","-0.323349","-1.403025","3.058472","1.696833"
"2004-10-18","18 Oct 2004","5.269118","-3.239470","-0.343648","-1.384587","3.085609","1.750395"
"2004-10-19","19 Oct 2004","5.283843","-3.250748","-0.327264","-1.376175","3.073646","1.741640"
"2004-10-20","20 Oct 2004","5.266878","-3.218707","-0.356590","-1.440857","3.154966","1.692219"
"2004-10-21","21 Oct 2004","5.252375","-3.204843","-0.345095","-1.412577","3.145881","1.714820"
"2004-10-22","22 Oct 2004","5.250805","-3.202225","-0.341439","-1.382772","3.144936","1.748175"
"2004-10-25","25 Oct 2004","5.247536","-3.193411","-0.393721","-1.443338","3.210917","1.730115"
"2004-10-26","26 Oct 2004","5.249865","-3.187605","-0.408780","-1.452549","3.229218","1.721885"
"2004-10-27","27 Oct 2004","5.237842","-3.168822","-0.398287","-1.433350","3.223102","1.705957"
"2004-10-28","28 Oct 2004","5.261210","-3.209658","-0.265025","-1.256301","3.210922","1.722224"
"2004-10-29","29 Oct 2004","5.338871","-3.303712","-0.426031","-1.070870","3.514165","1.965159"
"2004-11-01","01 Nov 2004","5.323779","-3.266704","-0.350686","-1.261971","3.409794","1.715327"
"2004-11-02","02 Nov 2004","5.313644","-3.258791","-0.307250","-1.206682","3.365565","1.738055"
"2004-11-03","03 Nov 2004","5.313098","-3.312214","-0.278366","-1.142410","3.333988","1.834090"
"2004-11-04","04 Nov 2004","5.310990","-3.325548","-0.267588","-1.130890","3.320343","1.856430"
"2004-11-05","05 Nov 2004","5.309141","-3.344205","-0.255656","-1.108883","3.306592","1.888297"
"2004-11-08","08 Nov 2004","5.313447","-3.376445","-0.245225","-1.078396","3.288997","1.983705"
"2004-11-09","09 Nov 2004","5.217772","-3.124318","-0.266907","-1.295478","3.261465","1.839382"
"2004-11-10","10 Nov 2004","5.165084","-3.069461","-0.035057","-1.861824","2.893033","2.056566"
"2004-11-11","11 Nov 2004","5.149143","-3.026283","-0.070894","-1.957840","2.928780","1.913243"
"2004-11-12","12 Nov 2004","5.122636","-3.012364","-0.065110","-1.943286","2.930117","1.948058"
"2004-11-15","15 Nov 2004","5.094071","-2.973681","-0.082783","-1.954538","2.956250","1.967299"
"2004-11-16","16 Nov 2004","5.069419","-2.968855","-0.058584","-1.867645","2.940744","2.146929"
"2004-11-17","17 Nov 2004","5.090763","-2.989532","-0.052611","-1.872778","2.939570","2.124948"
"2004-11-18","18 Nov 2004","5.115573","-3.021245","-0.022775","-1.819371","2.923847","2.199914"
"2004-11-19","19 Nov 2004","5.098891","-2.998043","-0.034130","-1.848167","2.938372","2.156871"
"2004-11-22","22 Nov 2004","5.078564","-2.973448","-0.054141","-1.881270","2.961269","2.130554"
"2004-11-23","23 Nov 2004","5.064458","-2.950351","-0.056334","-1.897691","2.963613","2.100387"
"2004-11-24","24 Nov 2004","5.065286","-2.944964","-0.077603","-1.956258","2.983004","2.013005"
