Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
04.09.2025;1.658,440;1.658,670;1.627,070;1.635,750;EUR;0
05.09.2025;1.640,270;1.657,300;1.638,780;1.648,280;EUR;0
08.09.2025;1.656,370;1.679,730;1.656,050;1.675,510;EUR;0
09.09.2025;1.683,010;1.684,430;1.647,750;1.671,590;EUR;0
10.09.2025;1.677,110;1.700,700;1.675,160;1.699,140;EUR;0
11.09.2025;1.706,630;1.723,870;1.691,800;1.721,630;EUR;0
12.09.2025;1.721,390;1.726,500;1.710,880;1.713,910;EUR;0
15.09.2025;1.720,160;1.736,820;1.720,020;1.735,500;EUR;0
16.09.2025;1.740,500;1.747,870;1.713,390;1.728,410;EUR;0
17.09.2025;1.726,160;1.738,880;1.695,260;1.699,940;EUR;0
18.09.2025;1.705,820;1.711,610;1.696,040;1.708,180;EUR;0
19.09.2025;1.709,860;1.715,640;1.703,530;1.711,350;EUR;0
22.09.2025;1.715,320;1.721,630;1.709,470;1.717,270;EUR;0
23.09.2025;1.718,780;1.719,140;1.703,580;1.708,720;EUR;0
24.09.2025;1.714,370;1.737,550;1.713,250;1.735,680;EUR;0
25.09.2025;1.738,860;1.739,050;1.725,950;1.736,250;EUR;0
26.09.2025;1.738,450;1.740,330;1.730,360;1.733,330;EUR;0
29.09.2025;1.737,980;1.746,610;1.735,400;1.744,630;EUR;0
30.09.2025;1.744,400;1.744,400;1.730,140;1.739,880;EUR;0
01.10.2025;1.740,160;1.740,220;1.718,510;1.732,780;EUR;0
02.10.2025;1.734,680;1.743,200;1.734,320;1.741,510;EUR;0
03.10.2025;1.742,570;1.751,250;1.735,530;1.738,500;EUR;0
06.10.2025;1.742,260;1.742,380;1.694,370;1.716,390;EUR;0
07.10.2025;1.707,640;1.708,120;1.684,670;1.698,790;EUR;0
08.10.2025;1.701,710;1.724,090;1.700,090;1.722,530;EUR;0
09.10.2025;1.714,780;1.720,510;1.692,030;1.693,330;EUR;0
10.10.2025;1.698,150;1.701,960;1.675,880;1.683,920;EUR;0
13.10.2025;1.690,650;1.694,960;1.675,430;1.686,850;EUR;0
14.10.2025;1.682,270;1.684,060;1.652,960;1.670,950;EUR;0
15.10.2025;1.678,450;1.678,660;1.619,530;1.626,960;EUR;0
16.10.2025;1.613,490;1.646,730;1.595,720;1.605,020;EUR;0
20.10.2025;1.600,820;1.647,240;1.598,440;1.645,410;EUR;0
21.10.2025;1.642,140;1.643,640;1.624,050;1.638,780;EUR;0
22.10.2025;1.640,260;1.661,690;1.616,950;1.631,240;EUR;0
23.10.2025;1.643,020;1.649,200;1.632,040;1.645,900;EUR;0
24.10.2025;1.648,220;1.648,920;1.628,500;1.636,250;EUR;0
27.10.2025;1.642,810;1.643,060;1.612,340;1.622,330;EUR;0
28.10.2025;1.616,060;1.638,410;1.596,100;1.630,930;EUR;0
29.10.2025;1.635,650;1.640,190;1.623,520;1.627,570;EUR;0
30.10.2025;1.629,740;1.636,760;1.616,910;1.620,900;EUR;0
03.11.2025;1.627,340;1.661,300;1.622,170;1.660,860;EUR;0
04.11.2025;1.657,580;1.658,590;1.633,570;1.647,490;EUR;0
05.11.2025;1.644,340;1.653,140;1.628,810;1.638,030;EUR;0
06.11.2025;1.670,980;1.674,210;1.617,680;1.643,370;EUR;0
07.11.2025;1.642,990;1.664,590;1.630,370;1.661,520;EUR;0
10.11.2025;1.673,850;1.686,940;1.669,540;1.681,200;EUR;0
11.11.2025;1.681,880;1.682,270;1.641,450;1.655,110;EUR;0
12.11.2025;1.654,630;1.673,860;1.649,730;1.666,850;EUR;0
13.11.2025;1.666,130;1.685,980;1.658,020;1.673,650;EUR;0
14.11.2025;1.666,350;1.668,010;1.627,830;1.656,440;EUR;0
17.11.2025;1.667,970;1.676,370;1.653,930;1.658,340;EUR;0
18.11.2025;1.652,600;1.699,410;1.648,120;1.663,580;EUR;0
19.11.2025;1.667,530;1.673,810;1.578,660;1.598,900;EUR;0
20.11.2025;1.604,580;1.642,950;1.596,900;1.600,040;EUR;0
21.11.2025;1.606,980;1.612,510;1.519,790;1.521,950;EUR;0
24.11.2025;1.504,110;1.516,790;1.394,840;1.446,900;EUR;0
25.11.2025;1.504,310;1.509,750;1.470,880;1.501,940;EUR;0
26.11.2025;1.527,930;1.532,320;1.500,420;1.526,440;EUR;0
27.11.2025;1.533,870;1.555,130;1.523,350;1.546,010;EUR;0
28.11.2025;1.547,950;1.550,730;1.498,280;1.506,660;EUR;0
01.12.2025;1.487,380;1.509,400;1.461,430;1.490,000;EUR;0
02.12.2025;1.502,110;1.543,770;1.479,040;1.533,410;EUR;0
03.12.2025;1.559,890;1.570,160;1.537,950;1.558,810;EUR;0
04.12.2025;1.565,520;1.566,490;1.544,930;1.563,180;EUR;0
05.12.2025;1.564,750;1.581,180;1.547,200;1.561,900;EUR;0
08.12.2025;1.569,100;1.629,380;1.567,950;1.625,500;EUR;0
09.12.2025;1.645,590;1.656,190;1.625,400;1.646,400;EUR;0
10.12.2025;1.640,170;1.645,670;1.598,720;1.624,960;EUR;0
11.12.2025;1.629,140;1.645,870;1.617,160;1.624,000;EUR;0
12.12.2025;1.621,540;1.642,790;1.620,910;1.632,550;EUR;0
15.12.2025;1.613,640;1.622,630;1.566,140;1.571,760;EUR;0
16.12.2025;1.544,460;1.569,940;1.528,270;1.546,920;EUR;0
17.12.2025;1.565,790;1.584,270;1.558,330;1.577,370;EUR;0
18.12.2025;1.583,040;1.595,620;1.558,450;1.579,680;EUR;0
19.12.2025;1.591,170;1.598,060;1.576,330;1.590,220;EUR;0
22.12.2025;1.585,330;1.596,260;1.579,120;1.581,490;EUR;0
23.12.2025;1.582,060;1.592,960;1.568,950;1.580,770;EUR;0
29.12.2025;1.567,230;1.576,590;1.544,790;1.566,670;EUR;0
30.12.2025;1.580,490;1.598,610;1.576,490;1.592,960;EUR;0
02.01.2026;1.606,300;1.627,310;1.598,600;1.627,150;EUR;0
05.01.2026;1.659,120;1.694,550;1.655,120;1.682,590;EUR;0
06.01.2026;1.696,010;1.701,100;1.671,050;1.678,950;EUR;0
07.01.2026;1.680,000;1.710,300;1.669,540;1.703,560;EUR;0
08.01.2026;1.718,180;1.738,650;1.704,920;1.723,270;EUR;0
09.01.2026;1.719,490;1.728,910;1.711,950;1.726,840;EUR;0
12.01.2026;1.735,420;1.742,610;1.715,320;1.728,520;EUR;0
13.01.2026;1.724,310;1.731,110;1.715,660;1.728,950;EUR;0
